"","id","title","runtime","popcornScore","theaterReleaseDate","actors","tomatoIcon","mpaaRating"
"1",1,"The Siege of Jadotville","2 hr.",79,"","Jamie DornanGuillaume CanetMark Strong (II)","fresh","Unrated"
"2",2,"The Great Gilly Hopkins","1 hr. 37 min.",67,"Oct 7","Sophie NlisseKathy BatesOctavia Spencer","fresh","PG"
"3",3,"The Late Bloomer","1 hr. 30 min.",38,"Oct 7","Johnny SimmonsMaria BelloBrittany Snow","rotten","Unrated"
"4",4,"The Hollow","2 hr. 8 min.",83,"Oct 7","William SadlerJeff FaheyWilliam Forsythe","","Unrated"
"5",5,"London Town","1 hr. 34 min.",98,"Oct 7","Jonathan Rhys MeyersDaniel HuttlestoneDougray Scott","rotten","Unrated"
"6",6,"The Jazz Loft According to W. Eugene Smith","1 hr. 27 min.",100,"Sep 23","Carla BleySteve SwallowSteve Reich","","Unrated"
"7",7,"Capsule","1 hr. 31 min.",20,"","Edmund KingsleyLisa GreenwoodNigel Barber","","Unrated"
"8",8,"Phantasm: Remastered","1 hr. 28 min.",67,"Oct 7","A. Michael BaldwinReggie BannisterBill Thornbury","fresh","R"
"9",9,"The Purge: Election Year","1 hr. 45 min.",52,"Jul 1","Frank GrilloElizabeth MitchellMykelti Williamson","rotten","R"
"10",10,"Into The Forest","1 hr. 41 min.",43,"Jul 29","Ellen PageEvan Rachel WoodMax Minghella","fresh","R"
"11",11,"The Mind's Eye","1 hr. 27 min.",36,"Aug 5","Graham SkipperLauren Ashley CarterJohn Speredakos","rotten","Unrated"
"12",12,"The Demolisher","1 hr. 25 min.",11,"","Ry BarrettRyan BarrettTianna Nori","","Unrated"
"13",13,"X-Men: Apocalypse","2 hr. 16 min.",69,"May 27","James McAvoyMichael FassbenderJennifer Lawrence","rotten","PG-13"
"14",14,"Phantasm: Ravager","1 hr. 40 min.",41,"Oct 7","A. Michael BaldwinReggie BannisterDawn Cody","rotten","Unrated"
"15",15,"Complete Unknown","1 hr. 30 min.",25,"Aug 26","Rachel WeiszMichael ShannonKathy Bates","rotten","R"
"16",16,"Swiss Army Man","1 hr. 35 min.",79,"Jun 24","Paul DanoDaniel RadcliffeMary Elizabeth Winstead","fresh","R"
"17",17,"Joshy","1 hr. 33 min.",59,"Aug 12","Thomas MiddleditchAdam PallyAlex Ross Perry","fresh","R"
"18",18,"Chicken People","1 hr. 23 min.",88,"Sep 23","Brian CarakerBrian KnoxShari McCollough","fresh","Unrated"
"19",19,"Sharknado: The 4th Awakens","2 hr.",29,"","Ian ZieringTara ReidDavid Hasselhoff","rotten","Unrated"
"20",20,"Beyond Glory","1 hr. 19 min.",0,"","Stephen LangGary Sinise","","Unrated"
"21",21,"Kingsglaive: Final Fantasy XV","1 hr. 50 min.",74,"Aug 19","Sean BeanLena HeadeyAaron Paul","rotten","PG-13"
"22",22,"ClownTown","1 hr. 22 min.",56,"Sep 30","Brian NagelLauren EliseAndrew Staton","rotten","Unrated"
"23",23,"Danny Says","1 hr. 44 min.",75,"Sep 30","Danny FieldsAlice CooperIggy Pop","rotten","Unrated"
"24",24,"Follow","1 hr. 14 min.",0,"Sep 30","Haley Lu RichardsonDon MostNoah Segan","","Unrated"
"25",25,"The Caretaker","1 hr. 20 min.",71,"Sep 30","Sondra BlakeSean MartiniChanel Celaya","","Unrated"
"26",26,"Amanda Knox","1 hr. 32 min.",72,"","","fresh","Unrated"
"27",27,"Flock Of Dudes","1 hr. 30 min.",70,"","Chris D'EliaHannah SimoneHilary Duff","rotten","Unrated"
"28",28,"Warcraft","1 hr. 40 min.",75,"Jun 10","Travis FimmelBen FosterDominic Cooper","rotten","PG-13"
"29",29,"Mike and Dave Need Wedding Dates","1 hr. 38 min.",60,"Jul 8","Zac EfronAnna KendrickAdam DeVine","rotten","R"
"30",30,"The Neon Demon","1 hr. 50 min.",59,"Jun 24","Elle FanningJena MaloneKeanu Reeves","rotten","R"
"31",31,"Central Intelligence","1 hr. 54 min.",65,"Jun 17","Dwayne JohnsonKevin HartAmy Ryan","fresh","PG-13"
"32",32,"The Shallows","1 hr. 27 min.",61,"Jun 24","Blake LivelyOscar JaenadaSedona Legge","certified","PG-13"
"33",33,"Cell","1 hr. 38 min.",16,"Jul 8","John CusackIsabelle FuhrmanSamuel L. Jackson","rotten","R"
"34",34,"Hunt for the Wilderpeople","1 hr. 41 min.",91,"Jun 24","Julian DennisonSam NeillRima Te Wiata","certified","PG-13"
"35",35,"Who Gets the Dog?","1 hr. 35 min.",22,"Sep 13","Alicia SilverstoneRyan KwantenRandall Batinkoff","","PG"
"36",36,"Audrie & Daisy","1 hr. 35 min.",82,"","","fresh","Unrated"
"37",37,"Goat","1 hr. 36 min.",50,"Sep 23","Ben SchnetzerNick JonasGus Halper","certified","R"
"38",38,"The Lovers And The Despot","1 hr. 34 min.",65,"Sep 23","Choi Eun-heeShin Sang-Ok","certified","Unrated"
"39",39,"My Blind Brother","1 hr. 30 min.",70,"Sep 23","Adam ScottJenny SlateNick Kroll","fresh","R"
"40",40,"End of a Gun","1 hr. 27 min.",17,"Sep 23","Steven SeagalFlorin Piersic Jr.Jacob Grodnik","","R"
"41",41,"Neighbors 2: Sorority Rising","1 hr. 32 min.",48,"May 20","Seth RogenRose ByrneZac Efron","fresh","R"
"42",42,"Free State of Jones","2 hr. 19 min.",67,"Jun 24","Matthew McConaugheyGugu Mbatha-RawKeri Russell","rotten","R"
"43",43,"Teenage Mutant Ninja Turtles: Out of the Shadows","1 hr. 37 min.",50,"Jun 3","Megan FoxWill ArnettStephen Amell","rotten","PG-13"
"44",44,"Interrogation","1 hr. 33 min.",25,"","Adam CopelandC.J. PerryJulia Benson","","R"
"45",45,"The Good Neighbor","1 hr. 38 min.",55,"Sep 16","James CaanKeir GilchristLogan Miller","rotten","Unrated"
